,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,avg_household_members,ocean_<1H OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN,median_house_value
28,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,2.3911205073995774,0,0,0,1,0,11.598194491615347
29,-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,2.5483870967741935,0,0,0,1,0,11.790564777297387
30,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,2.2830687830687832,0,0,0,1,0,11.714240498256716
31,-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,2.6485260770975056,0,0,0,1,0,11.654433707761807
32,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,3.062686567164179,0,0,0,1,0,11.611874470755124
33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,2.291793313069909,0,0,0,1,0,11.560772327227417
34,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,2.3470149253731343,0,0,0,1,0,11.605513761992055
35,-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,2.159090909090909,0,0,0,1,0,11.484536278461452
36,-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,2.6390374331550803,0,0,0,1,0,11.556951919719207
37,-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,2.235732009925558,0,0,0,1,0,11.551193801680078
38,-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,2.2297734627831716,0,0,0,1,0,12.162125982647739
39,-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,1.978448275862069,0,0,0,1,0,12.07824495582233
40,-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,2.3949367088607594,0,0,0,1,0,11.953764151901414
41,-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,2.076305220883534,0,0,0,1,0,11.918397239722838
42,-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,2.4444444444444446,0,0,0,1,0,11.685205103383671
43,-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,2.3585858585858586,0,0,0,1,0,12.14844882928968
44,-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,2.26027397260274,0,0,0,1,0,12.124868013083418
45,-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,1.8795811518324608,0,0,0,1,0,12.11341444611523
46,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,2.026315789473684,0,0,0,1,0,11.86710429621008
47,-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,2.205533596837945,0,0,0,1,0,11.83138646878959
48,-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,2.64375,0,0,0,1,0,12.141539457711714
49,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,1.9886363636363635,0,0,0,1,0,11.630717389475995
50,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,1.678082191780822,0,0,0,1,0,12.05467400868968
51,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,2.6068796068796067,0,0,0,1,0,11.448930795918299
52,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,2.720833333333333,0,0,0,1,0,11.487617913343598
53,-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,2.905,0,0,0,1,0,11.554077005184336
54,-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,3.0085836909871246,0,0,0,1,0,11.37940550085183
55,-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,2.618181818181818,0,0,0,1,0,11.32781201446548
56,-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,2.4015444015444016,0,0,0,1,0,11.37940550085183
57,-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,2.9836065573770494,0,0,0,1,0,11.353941456740479
58,-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,3.5328947368421053,0,0,0,1,0,11.293537353157436
59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,1.6491228070175439,0,0,0,1,0,11.002116507732017
60,-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,2.962566844919786,0,0,0,1,0,11.234546649377918
61,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,3.739130434782609,0,0,0,1,0,11.225256725762893
62,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,3.0901639344262297,0,0,0,1,0,11.363276304750233
63,-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,3.2767295597484276,0,0,0,1,0,11.239816684367907
64,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,2.9473684210526314,0,0,0,1,0,11.205054290550551
65,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,3.229946524064171,0,0,0,1,0,11.269591961359195
66,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,2.3734939759036147,0,0,0,1,0,11.34333452885509
67,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,3.3469387755102042,0,0,0,1,0,11.305913595583258
68,-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,3.341463414634146,0,0,0,1,0,11.350418300109132
69,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,2.983633387888707,0,0,0,1,0,11.769124610238766
70,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,3.0866141732283463,0,0,0,1,0,11.320565693461432
71,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,2.101083032490975,0,0,0,1,0,11.46374572492597
72,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,3.6842105263157894,0,0,0,1,0,11.225256725762893
73,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,2.5714285714285716,0,0,0,1,0,11.119897691565697
74,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,2.180451127819549,0,0,0,1,0,11.83138646878959
75,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,1.7357630979498861,0,0,0,1,0,12.086731521684555
76,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,2.4282907662082516,0,0,0,1,0,11.533717798424087
77,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,3.4830917874396135,0,0,0,1,0,11.592669666556795
78,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,3.243076923076923,0,0,0,1,0,11.630717389475995
79,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,2.2193548387096773,0,0,0,1,0,11.785247676408115
80,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,2.1072664359861593,0,0,0,1,0,11.998439434579149
81,-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,3.267857142857143,0,0,0,1,0,11.630717389475995
82,-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,2.2988505747126435,0,0,0,1,0,11.630717389475995
83,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,2.232258064516129,0,0,0,1,0,11.83138646878959
84,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,2.7633136094674557,0,0,0,1,0,11.685205103383671
85,-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,3.2782608695652176,0,0,0,1,0,11.494771677590096
86,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,1.5315789473684212,0,0,0,1,0,11.685205103383671
87,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,1.6545454545454545,0,0,0,1,0,11.998439434579149
88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,3.2051282051282053,0,0,0,1,0,11.83138646878959
89,-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,4.658823529411765,0,0,0,1,0,13.122367377396328
90,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,2.2099447513812156,0,0,0,1,0,11.998439434579149
91,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,10.272727272727273,0,0,0,1,0,11.83138646878959
92,-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,5.617647058823529,0,0,0,1,0,11.998439434579149
93,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,2.377483443708609,0,0,0,1,0,12.141539457711714
94,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,2.841541755888651,0,0,0,1,0,12.09626335986454
95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,1.493327593628928,0,0,0,1,0,11.775297421715827
96,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,1.735593220338983,0,0,0,1,0,12.121608929585332
97,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,2.21978021978022,0,0,0,1,0,11.736077016252437
98,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,1.6192,0,0,0,1,0,12.04355959836804
99,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,1.8755102040816327,0,0,0,1,0,12.1709686470671
100,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,1.8432,0,0,0,1,0,12.459943248455652
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,1.7120908483633934,0,0,0,1,0,12.518694860909774
102,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,1.706140350877193,0,0,0,1,0,12.377927112974284
103,-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,1.4600326264274062,0,0,0,1,0,12.765691290604371
104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,1.5030743432084963,0,0,0,1,0,12.723976161813853
105,-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,2.762295081967213,0,0,0,1,0,12.655238799709434
106,-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,1.5548245614035088,0,0,0,1,0,12.500609917318906
107,-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,1.6255924170616114,0,0,0,1,0,12.466130405907165
108,-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,2.011142061281337,0,0,0,1,0,12.52707222413625
109,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,1.8952618453865338,0,0,0,1,0,12.323860125621126
110,-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,2.1739130434782608,0,0,0,1,0,12.47801017053037
111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,1.7671232876712328,0,0,0,1,0,12.294545870166347
112,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,1.4371405094494658,0,0,0,1,0,12.449022745701502
113,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,1.8092485549132948,0,0,0,1,0,12.319852122072682
114,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,1.599526066350711,0,0,0,1,0,12.40123227382928
115,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,1.8350515463917525,0,0,0,1,0,12.352771342460947
116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,1.5400361228175798,0,0,0,1,0,12.294545870166347
117,-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,1.7222757955641272,0,0,0,1,0,12.363507925148648
118,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,2.6005361930294906,0,0,0,1,0,12.699551683459445
119,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,2.263917525773196,0,0,0,1,0,12.758810549239202
120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,2.1117021276595747,0,0,0,1,0,12.810664530598725
121,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,2.0851063829787235,0,0,0,1,0,12.721888795877375
122,-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,2.632754342431762,0,0,0,1,0,12.830943661992771
123,-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,2.120720720720721,0,0,0,1,0,12.87262171168374
124,-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,2.455040871934605,0,0,0,1,0,12.876721117631158
125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,2.1244769874476988,0,0,0,1,0,12.72873098576518
126,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,2.152400835073069,0,0,0,1,0,12.595411759236592
127,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,2.274706867671692,0,0,0,1,0,12.585539372236147
128,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,2.470948012232416,0,0,0,1,0,12.927566729229966
129,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,2.4606413994169096,0,0,0,1,0,12.649157827477366
130,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,2.2983870967741935,0,0,0,1,0,12.694348933246843
131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,2.747422680412371,0,0,0,1,0,12.880549107943006
132,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,2.419864559819413,0,0,0,1,0,12.673889510548893
133,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,2.1240208877284594,0,0,0,1,0,12.71680126459136
134,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,2.4368421052631577,0,0,0,1,0,12.722485630879172
135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,2.5687203791469195,0,0,0,1,0,12.769113988119456
136,-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,2.45724907063197,0,0,0,1,0,12.818283594342818
137,-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,2.414448669201521,0,0,0,1,0,12.81011808399072
138,-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,2.3863636363636362,0,0,0,1,0,12.812302081080515
139,-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,2.53,0,0,0,1,0,12.801609753558902
140,-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,2.423076923076923,0,0,0,1,0,13.08839492693925
141,-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,2.322857142857143,0,0,0,1,0,12.711084401471556
142,-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,2.504694835680751,0,0,0,1,0,12.686957484108422
143,-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,2.282608695652174,0,0,0,1,0,12.286273802188468
144,-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,1.9527720739219712,0,0,0,1,0,12.359227115018937
145,-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,2.2767857142857144,0,0,0,1,0,12.59946854621754
146,-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,2.4837662337662336,0,0,0,1,0,12.519791548657462
147,-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,2.4543478260869565,0,0,0,1,0,12.33578864378571
148,-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,2.433106575963719,0,0,0,1,0,12.20407565286699
149,-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,2.3009708737864076,0,0,0,1,0,12.38756469170864
150,-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,2.223529411764706,0,0,0,1,0,12.506551242106323
151,-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,1.9846449136276392,0,0,0,1,0,12.618516677531483
152,-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,1.7145969498910676,0,0,0,1,0,12.504327379899443
153,-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,2.8732394366197185,0,0,0,1,0,12.659378260676938
154,-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,2.6868421052631577,0,0,0,1,0,12.874160958936733
155,-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,3.3372093023255816,0,0,0,1,0,12.924646315668351
156,-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,2.914373088685015,0,0,0,1,0,12.772525010724586
157,-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,2.4765625,0,0,0,1,0,12.568285725643538
158,-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,2.4943181818181817,0,0,0,1,0,12.761970100454297
159,-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,1.9006211180124224,0,0,0,1,0,12.40410759774362
160,-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,2.057142857142857,0,0,0,1,0,12.261985005589679
161,-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,2.4528688524590163,0,0,0,1,0,12.294088101596984
162,-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,2.023166023166023,0,0,0,1,0,12.505810504075185
163,-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,1.8380187416331994,0,0,0,1,0,12.295917919903431
164,-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,1.6896551724137931,0,0,0,1,0,12.323860125621126
165,-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,1.8822714681440442,0,0,0,1,0,12.429220196836383
166,-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,2.5714285714285716,0,0,0,1,0,12.051761119434515
167,-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,1.7270375161707632,0,0,0,1,0,12.174587138384211
168,-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,2.7296037296037294,0,0,0,1,0,11.736077016252437
169,-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,3.2065217391304346,0,0,0,1,0,11.487617913343598
170,-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,3.7857142857142856,0,0,0,1,0,11.736077016252437
171,-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,2.9917355371900825,0,0,0,1,0,11.840796531639839
172,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,3.029465930018416,0,0,0,1,0,11.667370387218226
173,-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,2.6552795031055902,0,0,0,1,0,11.930325731537252
174,-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,3.206140350877193,0,0,0,1,0,11.751950239425476
175,-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,3.2219020172910664,0,0,0,1,0,11.76446986680519
176,-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,3.002985074626866,0,0,0,1,0,11.853681370708943
177,-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,2.1895306859205776,0,0,0,1,0,12.115606215804869
178,-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,3.0038910505836576,0,0,0,1,0,11.897514169490739
179,-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,3.29426433915212,0,0,0,1,0,11.718320437984499
180,-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,2.1964549483013296,0,0,0,1,0,12.039433474778324
181,-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,2.6236559139784945,0,0,0,1,0,11.748795687555171
182,-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,2.420918367346939,0,0,0,1,0,11.759011806144656
183,-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,2.7686746987951807,0,0,0,1,0,11.724004532183379
184,-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,3.0142857142857142,0,0,0,1,0,11.625369830810577
185,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,3.5475223395613322,0,0,0,1,0,11.633380483255026
186,-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,4.026699029126213,0,0,0,1,0,11.588969419043872
187,-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,3.844106463878327,0,0,0,1,0,11.83138646878959
188,-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,3.763496143958869,0,0,0,1,0,11.566475710526321
189,-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,4.082508250825082,0,0,0,1,0,11.466891997618188
190,-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,3.8511904761904763,0,0,0,1,0,11.662215780913316
191,-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,3.596638655462185,0,0,0,1,0,11.628047184686986
192,-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,4.1454545454545455,0,0,0,1,0,11.225256725762893
193,-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,3.097560975609756,0,0,0,1,0,11.630717389475995
194,-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,3.7268722466960353,0,0,0,1,0,11.736077016252437
195,-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,2.4541420118343193,0,0,0,1,0,11.652696102959753
196,-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,3.7681159420289854,0,0,0,1,0,11.461642696843066
197,-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,3.3436293436293436,0,0,0,1,0,11.476271853988816
198,-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,3.3442622950819674,0,0,0,1,0,11.184435286790631
199,-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,3.2936507936507935,0,0,0,1,0,11.174665631549477
200,-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,4.666666666666667,0,0,0,1,0,11.299744620670225
201,-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,3.19706498951782,0,0,0,1,0,11.766023856597407
202,-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,3.4383561643835616,0,0,0,1,0,11.630717389475995
203,-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,3.9529411764705884,0,0,0,1,0,11.690242855114947
204,-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,3.745672436750999,0,0,0,1,0,11.679295469550114
205,-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,4.317784256559767,0,0,0,1,0,11.715874472198905
206,-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,3.922374429223744,0,0,0,1,0,11.574029971623514
207,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,3.074569789674952,0,0,0,1,0,11.794345471549745
208,-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,3.0357142857142856,0,0,0,1,0,11.717505780625043
209,-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,3.0652173913043477,0,0,0,1,0,11.63780327310248
210,-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,3.5330882352941178,0,0,0,1,0,11.603688960617083
211,-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,3.318248175182482,0,0,0,1,0,12.011886987792716
212,-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,3.076923076923077,0,0,0,1,0,11.736077016252437
213,-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,3.1252371916508537,0,0,0,1,0,11.733674150882164
214,-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,2.832547169811321,0,0,0,1,0,11.825551337974238
215,-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,3.2883156297420335,0,0,0,1,0,11.86147448281689
